,file_name,mean,std,min,max
396,202308221030.nc,0.73338765,3.525112,0.0,99.7
397,202308040100.nc,0.2155279,1.2353346,0.0,98.1
398,202206072220.nc,0.23039608,0.7887021,0.0,93.88
399,202307081200.nc,0.3401854,1.3994052,0.0,99.7
400,202206151640.nc,0.2657179,1.0083158,0.0,99.7
401,202206180650.nc,0.33749592,1.5012101,0.0,98.329994
402,202308091100.nc,0.4982576,2.2268758,0.0,99.7
403,202206261000.nc,4.32029,13.655311,0.0,98.979996
404,202106131300.nc,0.91901565,2.553721,0.0,98.65
405,202308280900.nc,0.9433563,3.8452115,0.0,98.13
406,202106181830.nc,0.4123571,1.0898495,0.0,86.25
407,202307101150.nc,1.0488005,4.4304633,0.0,97.6
408,202107081220.nc,1.1655729,3.5635161,0.0,99.4
409,202107172110.nc,0.6761799,2.676202,0.0,95.81
410,202107190730.nc,0.6380258,4.1631503,0.0,94.549995
411,202307080740.nc,0.38825145,1.5750866,0.0,98.1
412,202208150610.nc,0.5766417,2.190964,0.0,99.7
413,202106091310.nc,0.5454713,1.5312456,0.0,98.009995
414,202206171210.nc,0.7129973,4.3375435,0.0,97.049995
415,202107210040.nc,0.21370254,1.065396,0.0,91.07
416,202106180650.nc,0.77446723,1.9933499,0.0,99.5
417,202106281640.nc,0.19623226,0.6877642,0.0,63.0
418,202308301900.nc,0.5259587,1.721817,0.0,98.1
419,202209050940.nc,1.8985426,4.308744,0.0,99.799995
420,202107261920.nc,0.5774314,2.0399559,0.0,99.4
421,202307182030.nc,0.27363962,1.2391207,0.0,99.7
422,202207070740.nc,0.3030104,1.4405823,0.0,99.27
423,202306031810.nc,0.12390916,0.7522714,0.0,98.6
424,202206270210.nc,0.8496021,2.6646693,0.0,97.84
425,202106221050.nc,0.2825575,0.9848559,0.0,99.409996
426,202306301900.nc,0.76434493,3.5521247,0.0,98.04
427,202206132000.nc,0.76070726,2.180943,0.0,99.229996
428,202306091540.nc,0.2906557,1.1468883,0.0,98.1
429,202106142050.nc,1.3350452,5.3366976,0.0,99.21
430,202207090250.nc,0.2732294,2.048313,0.0,98.27
431,202206181920.nc,0.5706483,3.7273328,0.0,98.72
432,202306141220.nc,0.20918505,0.73115337,0.0,98.1
433,202206152040.nc,0.27160123,0.93932116,0.0,97.24
434,202207131930.nc,0.22988601,1.0209818,0.0,98.1
435,202207160110.nc,0.55878836,2.4067526,0.0,99.22
436,202206262310.nc,1.6334678,6.2552714,0.0,98.32
437,202209071000.nc,0.14433211,1.3116372,0.0,99.799995
438,202207171430.nc,0.75457245,4.966024,0.0,99.7
439,202207231150.nc,0.30598342,1.4742309,0.0,99.7
440,202306020600.nc,0.5278316,2.2435963,0.0,98.85
441,202208231000.nc,0.13956429,1.3198513,0.0,99.439995
442,202307110130.nc,0.2754577,1.151921,0.0,99.119995
443,202306240730.nc,0.47599876,2.0856411,0.0,98.15
444,202208120040.nc,0.47016427,2.3017783,0.0,98.1
445,202207260710.nc,0.42974505,1.6685477,0.0,98.619995
446,202307291640.nc,0.30127692,1.0925893,0.0,97.68
447,202206191550.nc,0.5094405,2.4633615,0.0,98.75
448,202106231820.nc,0.27847034,0.8728269,0.0,99.579994
449,202306011920.nc,0.9212373,4.048498,0.0,98.28
